中间字符串,出现次数,实例
周围景观,765570,"""GOLD GLADIATOR "" apartment 周围景观 罗马电影城"
出生地,514115,007（谍战影片） 出生地 英国
地理位置,305799,"""GOLD GLADIATOR "" apartment 地理位置 钱皮诺机场"
所属地区,227855,010 所属地区 华北
地区,221936,"""1·18""组织、领导传销系列案 地区 广西壮族自治区南宁市"
总部地点,203858,(BOA)宝儿国际化妆品营运中心 总部地点 常州
成立时间,180945,+GF+ 成立时间 1802年
面积,173258,".ba 面积 51,750平方千米"
人口,164586,".ba 人口 3,922,000(2001"
界,161812,"""雪人"" 界 动物界"
科,129261,(共鸟)科 科 (共鸟)科
分布区域,124288,"""雪人"" 分布区域 寒带区域"
行政区类别,120224,010 行政区类别 直辖市
门,117517,(共鸟)科 门 <a>脊索动物门</a> Chordata
地点,113779,"""1+8""时代广场 地点 咸宁大道与银泉大道交叉口"
目,113586,107杨 目 杨柳目
纲,111037,"""雪人"" 纲 哺乳纲"
逝世日期,108063,1900 逝世日期 1945年左右
属,94472,020模式 属 商务
分类,90791,"""1·18""组织、领导传销系列案 分类 传销"
时间,89127,"""1.4""河南兰考火灾事故 时间 2013年1月4日"
占地面积,67634,"""9·11""纪念馆 占地面积 约1万平方米"
地址,57701,1+1网络电台 地址 施良桥科技实验大楼十层
种,55761,"""雪人"" 种 猿"
下辖地区,53915,010 下辖地区 东城区等14区 密云延庆2县
位置,45353,(DOA)宝儿化妆品国际营运中心 位置 中国江南名城常州
海拔,44686,1号村自然村 海拔 460.00米
信仰,43802,2013年度常德市政府信息公开年度报告 信仰 自由主义
气候条件,42436,022 气候条件 <a>暖温带</a>半湿润大陆季风型气候
隶属,42025,"""综合2030""计划 隶属 美国能源部的国家核安全局"
建筑面积,41768,1+8城市广场 建筑面积 18.6万方
亚纲,38303,107杨 亚纲 原始花被亚纲
所处时代,38169,1002年 所处时代 <a>北宋</a>
位于,37859,0598 位于 福建省中西北部
邮政区码,31302,022 邮政区码 300000
国家,30594,"""奈基""地空导弹 国家 美国（已退役）"
亚科,26998,2008晶甜糯 亚科 黍亚科 Panicoideae
方言,26119,020（广东省广州市的区号） 方言 粤语 客家话
成立于,23517,007危机公关公司 成立于 2007年11月
耕地面积,23406,121团 耕地面积 75万亩
上市时间,21277,100%互联网手机 上市时间 2012年4月
族,20405,104号元素 族 过渡金属
始建于,19584,007中国代购网 始建于 2010年
亚目,17852,8-8蝴蝶 亚目 锤角
年平均气温,17444,1号村自然村 年平均气温 25.00℃
行政区域,17023,024全时生活体 行政区域 <a>铁西区</a>
火车站,16660,020（广东省广州市的区号） 火车站 广州站 东站 南站
绿化率,16410,05鑫城 绿化率 34.5%
创始人,14507,(Na)too 创始人 张娜
民族族群,13900,1871年1月18日 民族族群 德意志帝国
分布,13481,0354 分布 灵石县
占地,12162,117社区 占地 0.3平方公里
朝代,12115,1001年 朝代 北宋
气候类型,11330,1000炮捕鱼 气候类型 暖温带半湿润气候区
建成时间,11050,031型潜艇 建成时间 1966年8月
国土面积,10471,1号村自然村 国土面积 1.02平方公里
城区,10332,11station 城区 通州
所在地,10071,0511 所在地 江苏省<a>镇江</a>区
时代,9348,1038年 时代 北宋宝元元年
建立时间,9322,0086点踢开 建立时间 2010年8月中旬
发布时间,8868,+F50.7 Tunit WL 发布时间 2007-06-01
景点级别,8680,21世纪金海岸度假村 景点级别 国家4A级风景区
耕地,8383,一二一团 耕地 50万亩
创立时间,7477,0701 创立时间 2006年4月
城市,5918,0372 城市 安阳市
亚属,5836,?红翅雏蝗 亚属 短翅亚属
亚种,5264,"""雪人"" 亚种 人种"
年降水量,5179,Carpathian Mountains 年降水量 800～1000毫米
祖籍,4676,2011罗大佑演唱会 祖籍 广东<a>省</a><a>梅州市梅县区</a>
邮编,4214,020（广东省广州市的区号） 邮编 510000
所在城市,3529,021 所在城市 上海
所属年代,3448,"""大府""印 所属年代 战国"
坐落于,3023,05鑫城 坐落于 滦平县城城东
种族,3015,4K.Grubby 种族 Orc
平均气温,2984,一家村上组村 平均气温 7.20 ℃
地处,2652,1952年赫尔辛基奥运会会徽 地处 <a>瑞典</a>
景点,2428,10000元6个月环游中国 景点 500个
主要城市,2428,2014年中国版图 主要城市 北京
降水量,2396,一家村上组村 降水量 738.00毫米
年份,2375,1000年代 年份 1000年-1009年
建筑年代,2329,2008先锋社区 建筑年代 2001年
辖区面积,2312,10月10日区 辖区面积 12.18平方千米
品种,2303,120岁巨蟒被擒 品种 缅甸蟒
耕地总面积,2229,一担土村 耕地总面积 67.2亩
原产地,2137,.22 LR 原产地 <a>美国</a>
作物种类,2102,04鉴1 作物种类 小扁豆
品种类别,1995,03F×A1 品种类别 辣椒
常住人口,1949,2013年内蒙古自治区行政区划 常住人口 2470万6321人
所属洲,1812,2014年中国版图 所属洲 亚洲
所在省州,1789,A.T.斯蒂尔健康科学大学 所在省州 密苏里州
人均耕地,1770,丁家村（云南省华坪县通达傈僳族乡丁家村） 人均耕地 1.10亩
流域面积,1736,"Brazos（北美河流） 流域面积 118,103平方公里"
设立时间,1696,1925党区奖章 设立时间 1933年
岩性,1692,Alpinina 岩性 mported Limestone
气候,1671,2011年青岛海云庵糖球会 气候 温带季风气候
首都,1382,.so 首都 <a>摩加迪沙</a>
土地面积,1346,一五0团 土地面积 67.614万亩
人口数量,1321,2014年中国版图 人口数量 13亿(2009年）
成立日期,1309,0411乐队 成立日期 2009年3月
主要宗教,1255,0971 主要宗教 <a>藏传</a><a>佛教</a>
平均海拔,1181,丁加奴高地 平均海拔 762米
主要景点,1174,High Park 主要景点 Coach House
农业人口,1159,3·21平度村民守征地被焚事件 农业人口 593人
流经地区,1146,七拱河 流经地区 阳山县
宗教信仰,1075,Chris Seven Antonopoulos 宗教信仰 无神论者
宗教,1051,2013年阿拉法日 宗教 基督
绿化面积,976,MoonlightFamily 绿化面积 约13000平方米
适宜地区,784,03优66 适宜地区 江西全省<a>稻瘟病</a>轻发区<a>种植</a>
林地面积,733,丁根村 林地面积 115.00亩
主要作物,713,丁家村（云南省宣威市龙潭镇丁家村） 主要作物 苹果
种植区域,692,2004QX-294 种植区域 宁夏引黄灌区中等肥力田块插秧种
经纬度,690,4·28江西赣州地震 经纬度 北纬25.0度
人口密度,682,Cedar Bluff 人口密度 369.3人/平方英里
花期,659,Cattleya amethystoglossa 花期 春季
所属水系,652,丁明歌 所属水系 <a>马来西亚</a><a>霹雳河</a>
主要分布,627,Glucosinolate 主要分布 于十字花科植物
行政村,626,0577 行政村 6116个
最高海拔,623,七峰山森林公园 最高海拔 760.4米
主要种植,585,Dolcetto 主要种植 意大利
亚族,579,[艹/杭]子梢属 亚族 <a>胡枝子亚族</a>Subtrib.Lespedezinae
山林面积,564,丁龙村（浙江新昌县城南乡下辖村） 山林面积 2766亩
主要支流,537,Yenisey 主要支流 <a>西伯利亚</a>河
主峰海拔,527,七星公园（台湾台北七星公园） 主峰海拔 1120公尺
总用地面积,526,103大楼 总用地面积 1.09平方公里
形成原因,517,1932年哈尔滨水灾 形成原因 暴雨导致松花江决堤
自然村,517,丁家村（江苏省常州市新北区薛家镇丁家村） 自然村 14个
辖区,498,4·22通辽地震 辖区 通辽
海拔区间,487,七裂槭 海拔区间 2000-3700
地理,470,ahmir 地理 美国
生长环境,460,一口血 生长环境 海拔1400-2000米的山谷阴处
校舍建筑面积,460,万州区望江小学 校舍建筑面积 5787平方米
分类地位,456,[金+舌]囊蘑 分类地位 白蘑科
辖,439,万柳地区 辖 2个社区
震中经纬度,416,01·18南通地震 震中经纬度 北纬32.4度
详细地址,401,2013年中国（北京）有机食品展览会 详细地址 中国 北京市朝阳区天辰东路7号
节日饮食,387,2012·中国·玉溪米线文化节 节日饮食 米线
坐标,387,4·16韩国客轮沉没事故 坐标 34.239833°N 125.866361°E
水域面积,386,.io 水域面积 54400平方公里
户籍人口,383,七贤桥村 户籍人口 3370人
地层单位编码,381,丁屋岭组 地层单位编码 06-35-0012
使用地区,380,025 使用地区 秦淮等11个市辖区
流动人口,380,七里居委会 流动人口 1950人
山地面积,378,丁塘圩村 山地面积 1450亩
出土,376,三关遗址 出土 陶器
地貌,373,4·27宜宾地面塌陷 地貌 <a>喀斯特地貌</a>
土地总面积,369,丁山河村 土地总面积 约2037亩
地理分布,368,Cerbalus aravensis 地理分布 以色列－约旦边界
主峰,368,七宝山（中国祁东县境内的山脉） 主峰 最高点335米
又译,359,Adam Savage 又译 <a>亚当·萨维奇</a>
水田面积,347,三元村（安徽省金寨县梅山镇三元村） 水田面积 1112亩
作物类别,333,04中36 作物类别 小麦品种
纬度,333,10·18西藏日喀则地震 纬度 28.3°
所属线路,332,2号航站楼站 所属线路 北京地铁机场线
最佳旅游时间,332,七盘仙谷景区 最佳旅游时间 四季皆宜
地势,330,Hurstville 地势 高
经度,319,11?12山西朔州地震 经度 112.4°
县区,319,丁家仓村 县区 上饶县
河流面积,313,"万泉河（海南岛东南部河流） 河流面积 3,683平方公里"
线路,309,5·23江西列车脱轨 线路 上海南开往桂林
GDP总计,299,Jordan（亚洲国家名） GDP总计 335.94亿美元（2013年）GDP （nominal）
原址,288,万寿山（安徽省阜阳市太和县万寿山） 原址 古镇原墙镇粮仓附近
适宜种植,288,上坡村委 适宜种植 烤烟 水稻
管辖范围,281,万家边村 管辖范围 21个自然村
全村,281,三义村（山西省长治市沁源县聪子峪乡下辖村） 全村 153户
出土文物,279,丁公遗址 出土文物 黑陶鬼脸式鼎腿
分布量,279,丁癸草属 分布量 中国：1种
相关景点,273,七星潭（河南省内乡县七星潭） 相关景点 南阳<a>内乡县衙</a>
科属,268,Conophytum bilobum 科属 番杏科肉锥花属
旅游景点,264,DI快捷酒店上海嘉定店 旅游景点 法华寺
地理区域,251,BAKO国家公园 地理区域 马来西亚砂拉越西部
栖息地,250,Atretochoana eiselti 栖息地 亚马逊河
所属宗教,249,七圣觉 所属宗教 佛教
主要河流,246,下诺夫哥罗德州 主要河流 伏尔加河
景区,243,万佛山（湖南万佛山） 景区 7个
流经,241,丁溪古水利工程 流经 有济
区域类别,240,七星台旅游度假区 区域类别 度假区
年降雨量,239,万家寨项目区 年降雨量 400毫米
水深,239,三道镇水库 水深 6.6米
国外分布,237,三叶鹿药 国外分布 分布于苏联远东地区
生产总值,230,2004年沈阳市政府工作报告 生产总值 1602亿
物种,222,B优813 物种 水稻
生态环境,222,丁木错 生态环境 属藏南山地灌丛草原半干旱气候
所属山系,216,Brood 所属山系 今天刚搬进这个新租的房子就将钥匙给搞丢了
种植,213,七星北斗汶塘村 种植 水稻为主
驻地,207,三义乡（镇平县三义乡（民国行政区）） 驻地 在<a>沙河刘村</a>
习俗,206,go dutch 习俗 散时各付资费
分布地,206,丐户 分布地 浙江
风景,205,七仙河畔 风景 风景如画
种植面积,204,Aubun 种植面积 1400 公顷
现有人口,194,丁庄社区 现有人口 992人
缘由,193,1893年芝加哥世博会 缘由 哥伦布发现美洲大陆400周年
村域面积,192,丁门口村 村域面积 3734亩
全村人口,189,三台子社区 全村人口 3100余人
社区面积,188,万安社区 社区面积 21.5万平方米
土壤,187,七里店村（北京房山区下辖村） 土壤 少有沙壤
常住居民,182,七区社区 常住居民 2504户
涉及范围,181,12345（政府机构热线） 涉及范围 杭州市
距今,181,1914年5月23日 距今 100年
所在省份,181,七腾软件 所在省份 重庆
水库总库容,181,万家塞水电站 水库总库容 8.17亿每立方米
景区类型,179,万载县九龙原始森林 景区类型 山川峡谷
土地年限,176,vita国际 土地年限 50年
土地,175,Springville Alabamas 土地 6.4平方英里（17平方公里）
景区面积,175,万佛湖旅游度假区 景区面积 299 km
人种,174,C.C 人种 欧洲人
分布描述,174,三江指环虫 分布描述 广西
港口,174,三江新区（四川省广元市特区） 港口 <a>广元港</a>（<a>嘉陵江</a>/在建）
绿地面积,171,七星园南社区 绿地面积 约2万平方米
地理环境,168,七根柏 地理环境 四周有两山环绕
动物,168,万时山自然保护区 动物 100多种
气温,168,三村乡（云南省红河县辖乡） 气温 20℃
景点类型,167,三口湾将军第 景点类型 人文景点
建设面积,164,366网上商城 建设面积 4万平米
灌溉面积,162,万家坝社区居委会 灌溉面积 100.00亩
主要景观,162,三渡 主要景观 南方大峡谷
最高峰,161,七星坑自然保护区 最高峰 七星顶
天体名称,160,M15（天体代号） 天体名称 M15
景区等级,159,万年冰洞 景区等级 国家4A级旅游景区
所属行政区,155,020（广东省广州市的区号） 所属行政区 广州
西至,154,316国道徽两段 西至 徽县
河流,154,三江口（浙江宁波三江口） 河流 <a>奉化江</a>
气候带,153,七夕斗鱼 气候带 热带
区划代码,151,东胜区 区划代码 150602
所属景区,150,17窟 所属景区 <a>莫高窟</a>
适应区域,150,94-701 适应区域 黑龙江
户籍,150,一平垣乡 户籍 3536户
耕田面积,148,七星台镇 耕田面积 8万亩
种名或亚种名,148,万年中蜂-2 种名或亚种名 Apis cerana
属名信息,148,三点奇木（新组合） 属名信息 奇木属
流经地,146,七都河 流经地 广西灵川县
树龄,145,一架自成林紫藤 树龄 473 年
时代产地,145,丁氏枝脉蕨 时代产地 四川广元须家河
全镇总面积,145,万宝镇（湖南省娄底市娄星区下辖镇） 全镇总面积 48.28平方公里
森林面积,144,“江山”风景旅游区 森林面积 11400多亩
最低海拔,143,万朝镇 最低海拔 300米
支流,140,七拱河 支流 沙河
绿化覆盖率,138,三官村（江苏省大纵湖镇下辖村） 绿化覆盖率 35%以上
海岸线,137,Amari island 海岸线 是马尔代夫所有酒店中最长的
环境湿度,136,8500D 环境湿度 20% ~ 90%
中文亚科,135,Pale Thrush 中文亚科 鸫亚科
分布地点,134,3D试机号 分布地点 福利彩票中心3D摇奖大厅
座落,134,YCMD盈彩美地 座落 在东莞市东城温塘管理区
全村面积,134,三桂村（广东省佛山市顺德区下辖村） 全村面积 2平方公里
产地分布,134,中甸牦牛 产地分布 迪庆州中北部高寒地区香格里拉县
栖息环境,132,七带豆娘鱼 栖息环境 潟湖
全村国土面积,131,三保村 全村国土面积 13.02平方公里
总人口数,130,万福林社区 总人口数 4411人
常住户,130,万福社区（广东省肇庆市鼎湖区坑口街道下辖社区） 常住户 3103户
最低气压,126,1972年热带风暴卡丽 最低气压 993<a>毫巴</a>（<a>百帕</a>）
藏于,126,三十三观音 藏于 <a>日本</a><a>东京国立博物馆</a>
海岸线长,121,丁字湾滨海旅游度假区 海岸线长 27.5公里
水系,121,东和林场 水系 水源充足
海拨,120,七星坑自然保护区 海拨 844.5米
行政区面积,117,万屯村 行政区面积 3.0平方公里
起源时期,116,20世纪中国版画 起源时期 1904年
规划用地面积,116,万友七季城3期七季向上 规划用地面积 20000余方
植物形态,115,三股筋 植物形态 少花新樟
自然景观,114,三道镇（黑龙江海林市三道镇） 自然景观 迎门石林
陆域面积,112,三垟湿地公园 陆域面积 70.9平方公里
植被类型,110,G20会都生态公园 植被类型 月季
非农业人口,110,上沙 非农业人口 2556人
座落在,107,上盘镇鹰山小学 座落在 山清水秀的上盘镇山根村
全乡总面积,106,三人班乡 全乡总面积 141．1平方公里
所属山脉,106,乌比克山 所属山脉 测量员山脉
地名,105,0852 地名 红花岗区
全镇面积,103,丁堡镇 全镇面积 面积90平方公里
暂住人口,103,七星社区 暂住人口 1700多人
总土地面积,103,三义乡（内蒙古克什克腾旗三义乡） 总土地面积 137万亩
特色美食,103,三亚市东方大厦商旅服务有限公司 特色美食 抱罗粉
蓄水量,101,万峰湖 蓄水量 102亿立方米
引种地点,97,4867橙 引种地点 博罗杨村
镇域面积,96,万金镇 镇域面积 74.7平方千米
管辖面积,96,万顷沙 管辖面积 310平方公里
特色景点,95,2011上海桃花节 特色景点 <a>上海浦东新区</a><a>南汇桃花村</a>等
邮编区码,95,七宿町 邮编区码 04302-8
隶属区域,95,三教寺（辽宁省抚顺市寺庙） 隶属区域 辽宁省抚顺市
区域定位,95,三江口（四川宜宾三江口） 区域定位 中央商务区
路线全长,95,下普快速通道 路线全长 30.029公里
所属时期,94,1270年 所属时期 南宋统治时期
植物类别,94,三毛杨11号 植物类别 林木
岛屿面积,93,AV岛 岛屿面积 440×140
交通线路,92,"2012谭咏麟珠海演唱会 交通线路 途经公交车7, 9, 13, 33"
最高峰海拔,92,七仙岭国家森林公园 最高峰海拔 1126米
动物种类,92,三岳自然保护区 动物种类 动物799种
生长期,91,87-3黄瓜 生长期 80～90天
犬种分类,91,Boxer（拳师犬的英文名称） 犬种分类 工作犬
所在省市,91,SYC 所在省市 上海
居民户数,91,三义堂村 居民户数 258户
所辖范围,90,52号院社区 所辖范围 知春路52号院和知春里14楼
管辖单位,90,三义井站 管辖单位 <a>沈阳铁路局</a>通辽铁路分局
所属科,90,三声夜鹰 所属科 夜鹰科
全村耕地面积,90,三宝派出所 全村耕地面积 181.4公顷
植物种类,88,三岳自然保护区 植物种类 有1001种
水生陆生,88,三带椭龟甲 水生陆生 陆生
景区特色,88,上方山国家森林公园 景区特色 佛教源流
周边景区,88,上海泉都宾馆（九新公路店） 周边景区 佘山国家森林公园
最大深度,87,Grand Canyon Colorado 最大深度 1740米
生存地点,87,一般剑齿虎 生存地点 南美彭巴斯大草原
山林,87,七峪村（山东省青岛市崂山区北宅街道下辖村） 山林 1500余亩
人文景观,87,东方赋 人文景观 九龙城遗址
水质,87,东汤温泉 水质 含氟量高
居住人口,86,三两 居住人口 3000人左右
现有居民,86,三圣宫社区居委会 现有居民 1070户
古迹,84,63年 古迹 中国佛教四大名山
生长地,84,MIMOSA 生长地 澳洲
隶属关系,84,万宁市林业局 隶属关系 万宁市人民政府
主要经济作物,84,上王村（浙江省衢州市江山市坛石镇下辖村） 主要经济作物 松杉木
地质,83,TheHouse红东方 地质 海淀清河小营地区
遗址面积,83,万军山遗址 遗址面积 15000平方米
车站位于,83,东胜东站 车站位于 内蒙古自治区鄂尔多斯市东胜区
总目,83,中国斗鱼 总目 棘鳍总目
进深,82,427窟 进深 3.4米
所属群岛,82,一统暗沙 所属群岛 中沙群岛
环境分布,82,丛生光萼苔 环境分布 林下岩面
果园面积,81,丈八寺村 果园面积 860亩
年平均降水量,81,下泊村（山西省晋城市沁水县柿庄镇） 年平均降水量 560—750毫米
最大水深,80,三十六脚湖 最大水深 16米
平均深度,80,丘克恰吉尔斯科耶湖 平均深度 2米
沿途省市,79,6440 沿途省市 河北
西邻,79,751创意工场 西邻 田子坊
所在州,79,Zihuatanejo 所在州 格雷罗州
街道名称,79,东公街 街道名称 安定门街道
所处地区,78,三教寺（重庆市石柱县寺庙） 所处地区 三河乡回龙山
总耕地,77,七里村（湖北省鹤峰县铁炉乡七里村） 总耕地 面积383亩
总体规划面积,76,T6艺术区 总体规划面积 7万平方米
生长海拔,76,三棱枝 生长海拔 1000（500）-2800米
植被,76,三道沟刺楸林保护区 植被 天然次生林
地面积,75,一统农庄 地面积 占1100亩
南临,75,三界庙 南临 东江南支流
海域面积,75,三都港 海域面积 40.06平方公里
湖面海拔,75,东台吉乃尔盐湖 湖面海拔 2681m
中文地址,74,三原山温泉 中文地址 <a>东京都</a>大岛町泉津字木积场
规划占地面积,74,上海港国际客运中心码头 规划占地面积 15万平方米
海拔上限,73,三角半边莲 海拔上限 1780
海拔下限,72,三角半边莲 海拔下限 600
风俗,72,上军田村 风俗 扫墓
岛屿,72,下龙湾洞群 岛屿 1969个石灰岩质岛屿
地貌环境,2,北索村 地貌环境 基本以丘陵地形为主。
水利环境,2,北索村 水利环境 灌溉主要依赖宝鸡峡干渠
自然地形,2,屯留县上莲开发区 自然地形 半山区
主要地形区,2,新疆（中华人民共和国一级行政区） 主要地形区 <a>准格尔盆地</a>
生活地形,2,木里韭（变种） 生活地形 湿地或林缘
地形类别,2,渔德咪村 地形类别 山区
地形组成,2,特罗姆斯郡 地形组成 峡湾和山脉组成
聚落地形,1,丰铁家 聚落地形 长方形
生长地形,1,军中肤王 生长地形 山地丘陵
总体地貌,1,同景国际城恋山 总体地貌 浅丘坡地地形
地形地质,1,斗南镇（台湾云林县下辖镇） 地形地质 属于<a>平原</a>地形
地貌特质,1,猫鼻头 地貌特质 典型的珊瑚礁海岸侵蚀地形
主要地形类别,1,玛·萨拉 主要地形类别 荒地/山脉/沙漠
地形,1101,Tomoiwa悬崖 地形 高400英尺(120米)
地形特征,14,中国东南地区 地形特征 东南丘陵
